FRAME_NUM,face_X[8],face_X[50],face_X[280],face_X[300],face_X[8],face_Y[50],face_Y[280],face_Y[300],face_Z[8],face_Z[50],face_Z[280],face_Z[300],L_WRIST_X,L_THUMB_CMC_X,L_THUMB_MCP_X,L_THUMB_IP_X,L_THUMB_TIP_X,L_INDEX_FINGER_MCP_X,L_INDEX_FINGER_PIP_X,L_INDEX_FINGER_DIP_X,L_INDEX_FINGER_TIP_X,L_MIDDLE_FINGER_MCP_X,L_MIDDLE_FINGER_PIP_X,L_MIDDLE_FINGER_DIP_X,L_MIDDLE_FINGER_TIP_X,L_RING_FINGER_MCP_X,L_RING_FINGER_PIP_X,L_RING_FINGER_DIP_X,L_RING_FINGER_TIP_X,L_PINKY_MCP_X,L_PINKY_PIP_X,L_PINKY_DIP_X,L_PINKY_TIP_X,L_WRIST_Y,L_THUMB_CMC_Y,L_THUMB_MCP_Y,L_THUMB_IP_Y,L_THUMB_TIP_Y,L_INDEX_FINGER_MCP_Y,L_INDEX_FINGER_PIP_Y,L_INDEX_FINGER_DIP,L_INDEX_FINGER_TIP,L_MIDDLE_FINGER_MCP,L_MIDDLE_FINGER_PIP_Y,L_MIDDLE_FINGER_DIP_Y,L_MIDDLE_FINGER_TIP_Y,L_RING_FINGER_MCP_Y,L_RING_FINGER_PIP_Y,L_RING_FINGER_DIP_Y,L_RING_FINGER_TIP_Y,L_PINKY_MCP_Y,L_PINKY_PIP_Y,L_PINKY_DIP_Y,L_PINKY_TIP_Y,L_WRIST_Z,L_THUMB_CMC_Z,L_THUMB_MCP_Z,L_THUMB_IP_Z,L_THUMB_TIP_Z,L_INDEX_FINGER_MCP_Z,L_INDEX_FINGER_PIP_Z,L_INDEX_FINGER_DIP_Z,L_INDEX_FINGER_TIP_Z,L_MIDDLE_FINGER_MCP_Z,L_MIDDLE_FINGER_PIP_Z,L_MIDDLE_FINGER_DIP_Z,L_MIDDLE_FINGER_TIP_Z,L_RING_FINGER_MCP_Z,L_RING_FINGER_PIP_Z,L_RING_FINGER_DIP_Z,L_RING_FINGER_TIP_Z,L_PINKY_MCP_Z,L_PINKY_PIP_Z,L_PINKY_DIP_Z,L_PINKY_TIP_Z,R_WRIST_X,R_THUMB_CMC_X,R_THUMB_MCP_X,R_THUMB_IP_X,R_THUMB_TIP_X,R_INDEX_FINGER_MCP_X,R_INDEX_FINGER_PIP_X,R_INDEX_FINGER_DIP_X,R_INDEX_FINGER_TIP_X,R_MIDDLE_FINGER_MCP_X,R_MIDDLE_FINGER_PIP_X,R_MIDDLE_FINGER_DIP_X,R_MIDDLE_FINGER_TIP_X,R_RING_FINGER_MCP_X,R_RING_FINGER_PIP_X,R_RING_FINGER_DIP_X,R_RING_FINGER_TIP_X,R_PINKY_MCP_X,R_PINKY_PIP_X,R_PINKY_DIP_X,R_PINKY_TIP_X,R_WRIST_Y,R_THUMB_CMC_Y,R_THUMB_MCP_Y,R_THUMB_IP_Y,R_THUMB_TIP_Y,R_INDEX_FINGER_MCP_Y,R_INDEX_FINGER_PIP_Y,R_INDEX_FINGER_DIP,R_INDEX_FINGER_TIP,R_MIDDLE_FINGER_MCP,R_MIDDLE_FINGER_PIP_Y,R_MIDDLE_FINGER_DIP_Y,R_MIDDLE_FINGER_TIP_Y,R_RING_FINGER_MCP_Y,R_RING_FINGER_PIP_Y,R_RING_FINGER_DIP_Y,R_RING_FINGER_TIP_Y,R_PINKY_MCP_Y,R_PINKY_PIP_Y,R_PINKY_DIP_Y,R_PINKY_TIP_Y,R_WRIST_Z,R_THUMB_CMC_Z,R_THUMB_MCP_Z,R_THUMB_IP_Z,R_THUMB_TIP_Z,R_INDEX_FINGER_MCP_Z,R_INDEX_FINGER_PIP_Z,R_INDEX_FINGER_DIP_Z,R_INDEX_FINGER_TIP_Z,R_MIDDLE_FINGER_MCP_Z,R_MIDDLE_FINGER_PIP_Z,R_MIDDLE_FINGER_DIP_Z,R_MIDDLE_FINGER_TIP_Z,R_RING_FINGER_MCP_Z,R_RING_FINGER_PIP_Z,R_RING_FINGER_DIP_Z,R_RING_FINGER_TIP_Z,R_PINKY_MCP_Z,R_PINKY_PIP_Z,R_PINKY_DIP_Z,R_PINKY_TIP_Z
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.5127168297767639,0.551103949546814,0.46924227476119995,0.46527227759361267,0.8019939661026001,0.7447192072868347,0.75347501039505,0.8132115602493286,-0.01065062265843153,0.003320925636216998,0.002889123512431979,0.008410634472966194,0.43674424290657043,0.4662711024284363,0.48463451862335205,0.49096792936325073,0.4875260293483734,0.48588699102401733,0.4803646206855774,0.4753395915031433,0.4735572338104248,0.4684898257255554,0.46123144030570984,0.45805639028549194,0.4584384262561798,0.44886064529418945,0.4421217739582062,0.44080018997192383,0.44316789507865906,0.4289400279521942,0.4245928227901459,0.42458826303482056,0.42679595947265625,0.24391259253025055,0.21853125095367432,0.16943612694740295,0.12498348951339722,0.09354376792907715,0.12425647675991058,0.06222740188241005,0.061333078891038895,0.07589226961135864,0.11504274606704712,0.05565471947193146,0.0647113174200058,0.08540748804807663,0.11379650980234146,0.06166049465537071,0.07521838694810867,0.09594513475894928,0.11893860995769501,0.0794873833656311,0.09258927404880524,0.11061415821313858,-1.2751708311498078e-07,0.011504246853291988,0.016277652233839035,0.01819813996553421,0.019579345360398293,0.012868703342974186,0.013482562266290188,0.012516149319708347,0.012413062155246735,0.007377676200121641,0.010987063869833946,0.01107621006667614,0.01027901004999876,0.0027280235663056374,0.006850364152342081,0.00947085116058588,0.009716734290122986,-0.0009366811718791723,0.0036707487888634205,0.00892420019954443,0.012286233715713024,0.6300267577171326,0.618638277053833,0.5994347333908081,0.5832391381263733,0.5718910694122314,0.588806688785553,0.5656329989433289,0.5634941458702087,0.5687519311904907,0.5816106200218201,0.5576649904251099,0.5571712255477905,0.5633926391601562,0.576553463935852,0.5531126856803894,0.553175151348114,0.5582700967788696,0.5734809637069702,0.5548725724220276,0.5532596707344055,0.5557040572166443,0.2836102247238159,0.2467721551656723,0.22932808101177216,0.2337726652622223,0.24615350365638733,0.2148028314113617,0.213762104511261,0.23287613689899445,0.2463572919368744,0.23276931047439575,0.22824986279010773,0.24337923526763916,0.25512170791625977,0.2550266981124878,0.24810953438282013,0.2612491548061371,0.27091342210769653,0.2788299322128296,0.2759023606777191,0.28438401222229004,0.2902785837650299,-1.3242974716831668e-07,0.004053178243339062,0.004779927432537079,0.003587826620787382,0.0027875485830008984,0.005868411157280207,0.001118887565098703,-0.0027401368133723736,-0.004332804121077061,0.0016558209899812937,-0.001291827647946775,-0.0033587405923753977,-0.004125385079532862,-0.002831664402037859,-0.004368319176137447,-0.003923656884580851,-0.003403435228392482,-0.006951165851205587,-0.0062936353497207165,-0.0035776023287326097,-0.00133463554084301
9,0.5126503705978394,0.5507045984268188,0.46922796964645386,0.46530357003211975,0.8011899590492249,0.7438281178474426,0.7531167268753052,0.8128794431686401,-0.011005707085132599,0.0031481699552387,0.003111159196123481,0.008315850980579853,0.44039374589920044,0.4720541536808014,0.49492162466049194,0.5028398633003235,0.4996293783187866,0.503426194190979,0.5102400779724121,0.5035138130187988,0.4959487318992615,0.4883421063423157,0.48870420455932617,0.4844529628753662,0.4813791513442993,0.46974778175354004,0.46935567259788513,0.46585825085639954,0.46502402424812317,0.4496801495552063,0.44907864928245544,0.4467726945877075,0.4464051425457001,0.2985694408416748,0.28190112113952637,0.23787669837474823,0.19692908227443695,0.16582037508487701,0.22291573882102966,0.1611742228269577,0.14751450717449188,0.1516958624124527,0.2122856229543686,0.15255528688430786,0.153445303440094,0.16788603365421295,0.20643553137779236,0.15272372961044312,0.1609853357076645,0.17862920463085175,0.2046441286802292,0.16410048305988312,0.17361705005168915,0.1897866278886795,-1.4607121556764469e-07,0.008071067743003368,0.00983530655503273,0.009263441897928715,0.008136521093547344,0.003452017204836011,-0.0007737152045592666,-0.004277332685887814,-0.005912386812269688,-0.0026680314913392067,-0.0034927583765238523,-0.004110556561499834,-0.005344329867511988,-0.008170343935489655,-0.008184055797755718,-0.005252976901829243,-0.004342156462371349,-0.012968843802809715,-0.012444491498172283,-0.007801694795489311,-0.004480552393943071,0.6143207550048828,0.5922799706459045,0.571540355682373,0.560103178024292,0.5527210831642151,0.5575039982795715,0.5430158972740173,0.5507925748825073,0.5574172735214233,0.5607842803001404,0.5477343201637268,0.5557402968406677,0.5618270039558411,0.5669751763343811,0.5553967356681824,0.5641304850578308,0.569966733455658,0.5768956542015076,0.5698607563972473,0.577501118183136,0.5828364491462708,0.3562335968017578,0.36251193284988403,0.35399487614631653,0.33771786093711853,0.321606308221817,0.35872119665145874,0.32809171080589294,0.3260675072669983,0.3365701735019684,0.34388384222984314,0.3116095960140228,0.31177693605422974,0.3224494755268097,0.32626643776893616,0.29625940322875977,0.29886066913604736,0.30984166264533997,0.3087467551231384,0.28592419624328613,0.2899138629436493,0.2988980710506439,-1.3293320932916686e-07,0.006726411171257496,0.007018201518803835,0.004590928554534912,0.003114070277661085,0.007364746183156967,0.0011222603498026729,-0.0038475356996059418,-0.006315933540463448,-0.0002308906550751999,-0.0031698367092758417,-0.004479800816625357,-0.005422884598374367,-0.008260654285550117,-0.00956579390913248,-0.00629290658980608,-0.004570125602185726,-0.016238272190093994,-0.01494493056088686,-0.010013682767748833,-0.006813321728259325
10,0.5124421715736389,0.5504139065742493,0.4689922332763672,0.46529141068458557,0.7999327778816223,0.7426846027374268,0.7523777484893799,0.8117517828941345,-0.011095928028225899,0.0030160374008119106,0.0032461462542414665,0.008434579707682133,0.4429023563861847,0.47340571880340576,0.5019966959953308,0.5155964493751526,0.5177416801452637,0.5131798982620239,0.5270552039146423,0.5189110040664673,0.5106104612350464,0.5001785755157471,0.5057512521743774,0.49918264150619507,0.49520647525787354,0.4834226965904236,0.48673349618911743,0.480785608291626,0.478192001581192,0.46551233530044556,0.4668605327606201,0.4621584415435791,0.46018335223197937,0.3462020754814148,0.3380953371524811,0.30059337615966797,0.26137733459472656,0.22936610877513885,0.29836535453796387,0.24613353610038757,0.23530776798725128,0.2394922971725464,0.2904645502567291,0.23570536077022552,0.23817221820354462,0.2516968846321106,0.28342756628990173,0.2364041805267334,0.24340102076530457,0.25887489318847656,0.2771129906177521,0.2408139854669571,0.24892933666706085,0.26314669847488403,-1.5779603756982397e-07,0.0029510795138776302,0.002433177549391985,0.0005607297061942518,-0.0013504792004823685,-0.001201252220198512,-0.007449917495250702,-0.011872958391904831,-0.01427233312278986,-0.005805044434964657,-0.009399044327437878,-0.010359755717217922,-0.011617057956755161,-0.010322152636945248,-0.013971134088933468,-0.01169036515057087,-0.010574550367891788,-0.014519228599965572,-0.017484623938798904,-0.014627440832555294,-0.012208868749439716,0.6126759648323059,0.6053048968315125,0.5897345542907715,0.5740150213241577,0.5587069988250732,0.574310839176178,0.554986298084259,0.5421013236045837,0.532146155834198,0.5698776841163635,0.5516854524612427,0.5394271016120911,0.5284131765365601,0.5678890347480774,0.5504997968673706,0.5391877889633179,0.5286968350410461,0.5675840973854065,0.5533930659294128,0.54371577501297,0.5357141494750977,0.40217235684394836,0.38745954632759094,0.3756881356239319,0.37286633253097534,0.3745776414871216,0.38637903332710266,0.3877350687980652,0.3904827833175659,0.3954898416996002,0.39011064171791077,0.39067715406417847,0.3939417004585266,0.40051159262657166,0.3911561369895935,0.3923797309398651,0.3957637846469879,0.4014790952205658,0.3910979628562927,0.39281633496284485,0.39508211612701416,0.3974038064479828,2.5445750395647337e-08,-0.012030488811433315,-0.01790701039135456,-0.02214149385690689,-0.025787850841879845,-0.013042273931205273,-0.021900497376918793,-0.028353510424494743,-0.03251047804951668,-0.010788668878376484,-0.018323630094528198,-0.02317185327410698,-0.0264146588742733,-0.009812683798372746,-0.016482608392834663,-0.01893463172018528,-0.020243413746356964,-0.009988411329686642,-0.015095090493559837,-0.01673787087202072,-0.01754860021173954
